ind,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-0.71052,-0.99301,-0.97284,0.36742,-1.0991,-1.1499,-1.0048,-0.97487,-0.96432,-0.58552,-0.25806,-1.0707,-1.042,-1.0945,-0.83894,-0.96551,-0.40498,-0.92025,-0.88822,-1.0434,-0.35731,-1.1149,-1.1455,-0.41137,-0.98674,-1.0644,-0.4688,-1.0668,-0.4595,-1.119,-0.052621,-1.2386,-1.0379,-1.1592
1,-1.1833,-1.4268,-1.3905,-0.27781,-1.3756,-1.5492,-1.3816,-1.2824,-1.4333,-0.81972,-0.73144,-1.314,-1.3488,-1.3614,-1.1511,-1.345,-1.0099,-1.3825,-1.3608,-1.3483,-0.85205,-1.3384,-1.3888,-0.67348,-1.3844,-1.3238,-0.89854,-1.3888,-0.9311,-1.4021,-0.5752,-1.3335,-1.3017,-1.3014
2,-1.3724,-1.5799,-1.5367,-0.76173,-1.523,-1.4893,-1.5575,-1.549,-1.5271,-1.1878,-1.1259,-1.4824,-1.5214,-1.6061,-1.4633,-1.5584,-1.3326,-1.5366,-1.5847,-1.5008,-1.3056,-1.5213,-1.6077,-1.1103,-1.5037,-1.5615,-1.3673,-1.5498,-1.439,-1.5437,-1.0978,-1.5045,-1.4695,-1.5249
3,-1.5931,-1.6054,-1.6202,-0.86927,-1.5599,-1.5692,-1.6077,-1.6105,-1.6209,-1.4554,-1.3626,-1.5573,-1.6173,-1.6505,-1.5881,-1.6533,-1.4535,-1.6136,-1.6096,-1.577,-1.4705,-1.6025,-1.6321,-1.2414,-1.5833,-1.6047,-1.4455,-1.6418,-1.5115,-1.6043,-1.3591,-1.5615,-1.5894,-1.5656
4,-1.467,-1.6309,-1.6202,-1.1381,-1.5968,-1.5692,-1.6579,-1.631,-1.6678,-1.79,-1.481,-1.5573,-1.6365,-1.6505,-1.713,-1.6296,-1.4939,-1.6393,-1.5847,-1.6342,-1.5117,-1.6025,-1.5834,-1.4161,-1.623,-1.5831,-1.4845,-1.6188,-1.6204,-1.5437,-1.4462,-1.5425,-1.6133,-1.6062
5,-1.3724,-1.3758,-1.4532,-1.0843,-1.4309,-1.4494,-1.4319,-1.4875,-1.4333,-1.3885,-1.4415,-1.4824,-1.2146,-1.4726,-1.4321,-1.4636,-1.2922,-1.4339,-1.4603,-1.4627,-1.4705,-1.501,-1.3401,-1.3288,-1.3446,-1.4318,-1.2501,-1.4348,-1.4027,-1.3819,-1.4026,-1.4855,-1.5174,-1.4436
6,-1.0888,-1.0185,-0.99372,-1.1381,-1.1359,-1.09,-1.0802,-1.0159,-0.96432,-1.0539,-1.0865,-1.052,-1.0995,-1.1167,-1.0262,-1.0604,-0.8486,-0.99729,-0.98772,-1.0815,-1.017,-1.0337,-0.9022,-0.84823,-0.98674,-0.91312,-0.74227,-0.97474,-0.89482,-1.0583,-0.96713,-1.0106,-1.0619,-1.0779
7,0.045967,-0.3551,0.050469,-0.60042,-0.23272,0.088196,0.22608,-0.13414,-0.23742,-0.41823,-0.77088,-0.17234,-0.2557,0.26227,-0.43313,0.078071,-0.52597,-0.3039,-0.5151,-0.2811,-0.72836,-0.078731,-0.48861,-0.58611,-0.091963,-0.07024,-0.50787,-0.35367,0.012092,-0.20897,-0.61875,-0.13692,-0.0069928,0.019474
8,0.92853,0.71658,0.63522,-1.0843,0.65207,0.34779,0.92946,0.68608,0.65363,-0.45168,-0.81033,0.46399,0.77988,0.84056,0.22242,0.62358,0.80491,0.67199,0.50474,0.8433,-0.43977,0.49016,0.53321,-0.80454,0.92211,0.64297,0.50787,0.63545,0.48369,0.45838,-0.83649,0.60385,1.2157,0.73071
9,1.0861,1.2014,1.032,-0.27781,0.947,1.0667,1.1807,1.0347,1.146,0.1171,0.01808,0.9693,1.1442,1.1297,0.44093,1.264,1.4099,1.1343,1.1017,0.97671,0.013743,0.73397,1.1658,0.069169,1.121,0.90232,1.4455,1.2335,1.318,0.96394,-0.13972,1.0027,1.1438,1.1778
10,1.2753,1.1248,0.80229,0.36742,1.0023,1.1066,1.1053,1.0142,1.146,0.5186,0.33367,0.93187,1.1634,1.1075,0.97161,1.1928,1.4099,1.2113,1.1763,0.97671,0.67339,0.69334,1.0928,0.68077,1.121,0.90232,1.4845,1.0495,1.3543,1.0044,0.55705,1.0027,1.1198,1.1778
