ind,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,1.3191,-0.81244,0.087213,-0.75624,-0.50952,-0.87492,0.83967,-0.86958,-0.81287,-0.64847,-0.97386,0.33926,-0.75213,0.065389,-0.89604,0.2081,-0.88008,-0.88996,-0.026952,-0.78046,0.3222,-0.76022,0.50632,-0.19934,-0.98161,0.29828,-0.95324,-0.82904,1.209,-0.81595,-0.37358,-0.69492,0.98403
1,0.56977,-1.1576,-0.57646,-1.1884,-1.2396,-1.2653,-0.36945,-1.2261,-1.1727,-1.0947,-1.2951,-0.32542,-1.0693,-0.52988,-1.2313,-0.56485,-1.2583,-1.2677,-0.6276,-1.1359,-0.084789,-1.2362,-0.34943,-0.70591,-1.3422,-0.51807,-1.6212,-1.1944,0.57029,-1.0806,-0.98663,-1.2358,0.16966
2,0.19513,-1.4164,-1.087,-1.3155,-1.2396,-1.4884,-0.42703,-1.4181,-1.5069,-1.3736,-1.5629,-0.71315,-1.36,-1.1251,-1.4117,-1.0405,-1.462,-1.4421,-1.1821,-1.382,-0.54992,-1.3948,-0.86289,-1.2125,-1.5345,-1.0832,-1.3707,-1.5035,-0.25093,-1.3452,-1.4464,-1.4161,-0.51942
3,-0.085856,-1.5314,-1.3933,-1.4426,-1.6046,-1.6836,-0.83007,-1.5278,-1.5583,-1.4852,-1.6432,-0.93471,-1.4921,-1.3957,-1.4891,-1.2783,-1.5492,-1.5293,-1.5979,-1.4641,-0.84062,-1.5799,-1.2622,-1.5502,-1.6547,-1.3344,-1.4542,-1.644,-0.34217,-1.4334,-1.6763,-1.5063,-0.83264
4,-0.17952,-1.5027,-1.3933,-1.4426,-1.6046,-1.6836,-0.94523,-1.5278,-1.6097,-1.6525,-1.5093,-1.1009,-1.5186,-1.4498,-1.4891,-1.3378,-1.6074,-1.5293,-1.4593,-1.4641,-0.95691,-1.6857,-1.3763,-1.5502,-1.6066,-1.2716,-1.4542,-1.5878,-0.70715,-1.5216,-1.7529,-1.5063,-0.89529
5,-0.27318,-1.4164,-1.2912,-1.2901,-1.1483,-1.5163,-0.88765,-1.4729,-1.3783,-1.4294,-1.5093,-1.1009,-1.3864,-1.2875,-1.4375,-1.1,-1.5201,-1.4712,-1.2283,-1.382,-1.015,-1.3948,-1.2052,-1.4939,-1.4384,-1.2088,-1.5655,-1.4754,-0.61591,-1.4334,-1.3698,-1.5063,-0.70736
6,-0.085856,-1.6465,-1.7506,-1.5443,-0.78329,-1.2653,-1.8089,-1.5552,-1.1213,-0.81581,-1.081,-0.87932,-1.4921,-1.991,-1.4891,-1.8135,-1.0256,-1.1806,-1.7827,-1.4914,-0.72434,-1.4742,-0.86289,-1.0999,-0.98161,-1.9624,-1.1481,-1.4473,-0.34217,-1.5216,-0.91,-1.0555,-0.70736
7,-1.3971,-0.46734,-0.72961,-0.88334,-1.2396,-0.3172,-1.521,-0.65019,-0.63294,-0.87159,-0.38486,-0.54698,-0.59355,-0.74634,-0.74133,-0.74322,-0.7928,-0.7156,-1.2283,-0.67108,-1.4802,-0.60157,-1.6045,-0.93106,-0.45274,-0.76926,-0.25744,-0.21077,-1.3459,-0.66894,-0.98663,-1.0105,-1.7723
8,-1.1161,0.65427,0.34247,0.41307,-0.14449,0.51937,-1.118,0.50164,0.62652,0.13248,0.47187,-0.9901,0.41075,0.55243,0.47058,0.32702,0.34185,0.24338,0.34268,0.23129,-1.1313,0.58835,-0.97699,-0.25563,0.74923,0.48667,0.661,0.68852,-0.98089,0.15437,-0.22032,-0.063857,-0.89529
9,-0.74149,1.0569,1.7209,1.2011,0.95059,1.1329,-0.42703,1.1873,1.3205,1.0808,1.3822,-0.32542,1.1508,1.4724,1.2184,1.6945,0.77826,1.0571,1.3592,1.243,-0.37549,1.1172,-0.064182,1.1515,1.3021,1.617,1.1898,1.2787,-0.43342,1.1835,0.85253,1.1081,0.48288
