dataset,custom_rbf_kernel_SVM,brownian_bridge_SVM,dtw_full_kNN,linear_kernel_SVM,psd_wasserstein_SVM,wasserstein-DTD_SVM,wasserstein_SVM,wasserstein_kNN,krein_wasserstein_SVM,sinkhorn_SVM,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE,MLP_deep,FCN,ResNet,dataset_type,KEMD,ts_length,train_size,train_size_log,ts_length_log
UWaveGestureLibraryAll,0.921273032,,0.891680625,0.860134003,,,0.962032384,0.954215522,0.962590731,,0.890563931,0.784198772,0.893914015,0.935790061,0.890563931,0.938581798,0.944444444,0.931602457,0.948073702,0.891680625,0.962311558,0.849246231,0.927135678,0.953657175,0.958961474,0.963149079,0.952819654,0.93718593,0.966219989,0.935231714,0.937744277,0.965661642,0.942211055,0.953378001,0.788666,,0.798994975,0.938860972,0.957286432,0.926298157,0.965940815,0.532104969,0.660245673,0.968453378,0.963428252,0.964265773,0.968453378,0.955,0.817,0.86,Motion,0.305974316,945,896,2.95230801,2.975431809
Earthquakes,0.819875776,0.822981366,0.810559006,0.819875776,0.819875776,0.819875776,0.819875776,0.795031056,0.819875776,,0.669064748,0.697841727,0.64028777,0.741007194,0.568345324,0.748201439,0.748201439,0.697841727,0.712230216,0.71942446,0.726618705,0.676258993,0.676258993,0.683453237,0.726618705,0.690647482,0.676258993,0.676258993,0.726618705,0.705035971,0.705035971,0.748201439,0.741007194,0.741007194,0.705036,0.741007194,0.748201439,0.748201439,0.748201439,0.748201439,0.64028777,0.748201439,0.748201439,0.741007194,0.71942446,0.748201439,0.748201439,0.717,0.727,0.712,Sensor,0.816770186,512,139,2.1430148,2.709269961
Car,0.766666667,0.616666667,0.733333333,0.45,0.85,0.766666667,0.85,0.783333333,0.85,0.816666667,0.6,0.566666667,0.85,0.883333333,0.566666667,0.666666667,0.8,0.766666667,0.733333333,0.733333333,0.766666667,0.733333333,0.783333333,0.766666667,0.833333333,0.9,0.916666667,0.783333333,0.783333333,0.8,0.783333333,0.85,0.916666667,0.766666667,0.75,0.783333333,0.866666667,0.833333333,0.766666667,0.783333333,0.85,0.583333333,0.7,0.833333333,0.766666667,0.9,0.866666667,0.767,0.905,0.925,Sensor,0.633333333,577,60,1.77815125,2.761175813
DistalPhalanxOutlineCorrect,0.833333333,0.801666667,0.798333333,0.546666667,0.806666667,0.813333333,0.806666667,0.768333333,0.806666667,,0.673913043,0.757246377,0.663043478,0.764492754,0.72826087,0.782608696,0.757246377,0.822463768,0.717391304,0.717391304,0.724637681,0.731884058,0.713768116,0.710144928,0.742753623,0.735507246,0.739130435,0.710144928,0.717391304,0.731884058,0.724637681,0.768115942,0.775362319,0.778985507,0.75,0.713768116,0.72826087,0.72826087,0.77173913,0.782608696,0.721014493,0.760869565,0.724637681,0.72826087,0.735507246,0.760869565,0.77173913,0.726,0.76,0.771,Image,0.821666667,80,276,2.440909082,1.903089987
DiatomSizeReduction,0.823529412,0.885620915,0.967320261,0.640522876,0.937908497,0.960784314,0.937908497,0.960784314,0.937908497,,0.879084967,0.715686275,0.954248366,0.947712418,0.941176471,0.87254902,0.87254902,0.964052288,0.934640523,0.967320261,0.934640523,0.934640523,0.91503268,0.934640523,0.941176471,0.947712418,0.947712418,0.934640523,0.967320261,0.967320261,0.91503268,0.934640523,0.924836601,0.980392157,0.866013,0.921568627,0.882352941,0.931372549,0.931372549,0.89869281,0.905228758,0.888888889,0.87254902,0.944444444,0.934640523,0.928104575,0.941176471,0.91,0.313,0.301,Image,0.95751634,345,16,1.204119983,2.537819095
Plane,1,0.980952381,1,0.742857143,1,1,1,1,1,,0.942857143,0.961904762,0.980952381,0.99047619,0.980952381,0.99047619,0.99047619,0.961904762,0.961904762,1,1,1,1,1,1,1,1,1,1,1,1,0.99047619,1,1,1,0.980952381,0.99047619,1,1,1,1,0.971428571,1,1,1,1,1,0.978,1,1,Sensor,1,144,105,2.021189299,2.158362492
yoga,0.820333333,0.768333333,0.836666667,0.561333333,0.858666667,0.845,0.858666667,0.856,0.858666667,,0.542333333,0.684333333,0.572,0.786,0.606,0.814666667,0.824333333,0.820666667,0.830333333,0.836666667,0.843,0.82,0.828666667,0.847,0.860333333,0.865333333,0.872,0.84,0.853,0.856,0.856,0.868333333,0.817666667,0.834333333,0.695,0.832,0.84,0.918333333,0.859333333,0.819333333,0.869,0.75,0.695333333,0.879,0.844,0.876666667,0.917666667,0.855,0.839,0.87,Image,0.778,426,300,2.477121255,2.629409599
ElectricDevices,0.655816366,0.649202438,0.595772273,0.495785242,,,0.693814032,0.659447542,0.705355985,,0.512644274,0.559330826,0.498249254,0.580988199,0.462585916,0.654908572,0.785760602,0.640513552,0.551679419,0.602126832,0.630787187,0.570872779,0.596809752,0.654000778,0.625988847,0.659058488,0.592659837,0.581895993,0.613409415,0.591881727,0.593827,0.741149008,0.746984827,0.587472442,0.579043,0.596031643,0.7052263,0.799247828,0.692517183,0.702502918,0.6812346,0.625729477,0.597198807,0.662949034,0.615614058,0.713266762,0.770328103,0.592,0.702,0.729,Device,0.591362988,96,8926,3.950656883,1.982271233
synthetic_control,0.98,0.956666667,0.983333333,0.853333333,0.996666667,0.986666667,0.996666667,0.966666667,0.996666667,,0.96,0.81,0.923333333,0.943333333,0.926666667,0.943333333,0.973333333,0.91,0.88,0.993333333,0.983333333,0.566666667,0.566666667,0.976666667,0.953333333,0.973333333,0.986666667,0.566666667,0.993333333,0.993333333,0.996666667,0.99,0.983333333,0.996666667,0.91,0.933333333,0.89,0.966666667,0.986666667,0.993333333,0.98,0.66,0.653333333,0.99,0.973333333,1,0.996666667,0.976,0.985,0.998,Simulated,0.446666667,60,300,2.477121255,1.77815125
CBF,0.968888889,0.928888889,0.996666667,0.78,0.97,0.931111111,0.97,0.994444444,0.97,0.926666667,0.895555556,0.673333333,0.877777778,0.875555556,0.854444444,0.89,0.928888889,0.894444444,0.852222222,0.996666667,0.994444444,0.592222222,0.572222222,0.997777778,0.99,0.968888889,0.991111111,0.591111111,0.996666667,0.996666667,0.98,0.991111111,0.974444444,0.991111111,0.94,0.924444444,0.956666667,0.997777778,0.994444444,0.987777778,0.998888889,0.598888889,0.555555556,0.997777778,0.998888889,0.995555556,0.998888889,0.872,0.994,0.995,Simulated,0.642222222,128,30,1.477121255,2.10720997
