x,a
0,0.02372029
1,-0.009839046
2,-0.005315457
3,-7.82E-06
4,-0.01045432
5,-0.027027895
6,0.042709538
7,-0.06095375
8,-0.017294568
9,-0.015204746
10,-0.012692486
11,-0.013739753
12,0.129
13,0.56
14,3.88
15,4.1
16,3.21
17,1.45
18,0.304
19,0.012
20,-0.02500071
21,-0.00045782
22,0.026974005
23,0.044936614
24,0.013049652
25,0.006144165
26,-0.01086854
27,0.056530156
28,0.160332347
29,0.401041726
30,0.706985469
31,1.082955603
32,1.430648966
33,1.571135388
34,1.4671376
35,1.063915313
36,0.691706775
37,0.37285473
38,0.110472283
39,0.078853852
40,0.025768644
41,-0.024061199
42,-0.05078938
43,0.018445481
44,0.021865175
45,0.017738373
46,0.026259508
47,0.012942032
48,0.020932148
49,-0.030051494
50,0.034214637
51,-0.043612285
52,0.000330007
53,-0.025426152
54,0.019611106
55,-0.022692906
56,-0.054716435
57,-0.004023725
58,0.008969998
59,0.043193666
60,0.010777844
61,0.016331554
62,-0.007941038
63,0.033068527
64,-0.011157365
65,0.002820889
66,0.008434784
67,0.035013504
68,-0.025554479
69,-0.008586748
70,-0.005581194
71,-0.019312055
72,0.049854632
73,0.027401933
74,4.57E-05
75,0.006266936
76,0.009462903
77,0.014376229
78,0.010750664
79,0.001105186
80,-0.017329616
81,-0.048768516
82,0.023459031
83,-0.022803285
84,0.007438119
85,-0.044318175
86,-0.027574244
87,-0.035339237
88,0.006485989
89,0.026725102
90,0.12018319
91,0.248482109
92,0.445888469
93,0.721547469
94,1.136206365
95,1.765545444
96,2.343914237
97,3.00323446
98,3.59398199
99,3.899287994
100,3.982483708
101,3.760185013
102,3.324795645
103,2.663887918
104,2.019305694
105,1.491264872
106,0.958402883
107,0.603470928
108,0.361211538
109,0.209363087
110,0.053404844
